,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.004,0.018,0.072,0.090,0.100,0.155,0.578,,0.201,0.205,0.137,0.156
DCC_joint,0.031,0.013,0.176,0.239,0.260,0.298,0.350,,0.234,0.189,0.169,0.196
DCC_bivariate_loop,0.042,0.016,0.178,0.233,0.249,0.279,0.318,,0.247,0.183,0.163,0.191
SW_cross_validated,0.076,0.029,0.109,0.132,0.139,0.161,0.188,,0.170,0.207,0.123,0.133
SW_15,0.274,0.112,0.171,0.181,0.168,0.185,0.186,,0.182,0.244,0.216,0.192
SW_30,0.185,0.069,0.127,0.140,0.140,0.184,0.230,,0.163,0.199,0.151,0.159
SW_60,0.125,0.048,0.111,0.168,0.248,0.373,0.499,,0.183,0.202,0.124,0.208
SW_120,0.093,0.035,0.174,0.356,0.610,0.783,0.830,,0.233,0.213,0.124,0.345
sFC,0.025,0.010,0.713,0.710,0.709,0.709,0.709,,0.816,0.200,0.303,0.490
