,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.049,0.049,0.102,0.119,0.165,0.155,0.298,,0.142,0.113,0.098,0.129
DCC_joint,0.040,0.048,0.170,0.199,0.210,0.222,0.242,,0.216,0.104,0.120,0.157
DCC_bivariate_loop,0.051,0.057,0.098,0.121,0.126,0.138,0.156,,0.126,0.102,0.097,0.107
SW_cross_validated,0.132,0.149,0.204,0.203,0.224,0.231,0.249,,0.213,0.173,0.157,0.194
SW_15,0.300,0.315,0.311,0.299,0.301,0.304,0.313,,0.314,0.292,0.308,0.306
SW_30,0.216,0.227,0.228,0.214,0.217,0.216,0.235,,0.224,0.219,0.223,0.222
SW_60,0.160,0.162,0.167,0.160,0.189,0.224,0.277,,0.178,0.179,0.170,0.187
SW_120,0.129,0.139,0.148,0.203,0.316,0.389,0.415,,0.178,0.169,0.149,0.223
sFC,0.030,0.035,0.338,0.336,0.336,0.336,0.335,,0.386,0.101,0.145,0.238
