,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.004,0.047,0.114,0.134,0.201,0.146,0.585,,0.226,0.211,0.157,0.182
DCC_joint,0.030,0.029,0.179,0.241,0.264,0.299,0.353,,0.236,0.190,0.172,0.199
DCC_bivariate_loop,0.042,0.030,0.182,0.234,0.252,0.280,0.319,,0.248,0.184,0.166,0.194
SW_cross_validated,0.067,0.163,0.207,0.197,0.215,0.228,0.263,,0.268,0.230,0.174,0.201
SW_15,0.250,0.326,0.322,0.294,0.299,0.306,0.324,,0.357,0.283,0.296,0.305
SW_30,0.178,0.225,0.232,0.214,0.213,0.232,0.283,,0.272,0.232,0.215,0.230
SW_60,0.121,0.160,0.173,0.174,0.254,0.377,0.503,,0.247,0.224,0.178,0.241
SW_120,0.086,0.133,0.174,0.343,0.613,0.788,0.831,,0.283,0.234,0.158,0.364
sFC,0.025,0.010,0.713,0.710,0.709,0.709,0.709,,0.816,0.200,0.303,0.490
