,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.010,0.028,0.026,0.010,0.027,0.203,,0.028,0.010,0.016,0.037
DCC_joint,0.017,0.010,0.025,0.034,0.026,0.019,0.031,,0.020,0.011,0.020,0.021
DCC_bivariate_loop,0.026,0.011,0.023,0.034,0.024,0.018,0.029,,0.021,0.009,0.021,0.022
SW_cross_validated,0.024,0.011,0.021,0.021,0.018,0.027,0.023,,0.013,0.011,0.017,0.019
SW_15,0.019,0.015,0.012,0.026,0.014,0.026,0.024,,0.028,0.024,0.025,0.021
SW_30,0.022,0.008,0.013,0.026,0.015,0.026,0.020,,0.017,0.018,0.028,0.019
SW_60,0.021,0.011,0.020,0.031,0.025,0.024,0.015,,0.015,0.015,0.020,0.020
SW_120,0.029,0.012,0.027,0.029,0.006,0.017,0.009,,0.009,0.016,0.017,0.017
sFC,0.018,0.010,0.005,0.003,0.003,0.002,0.002,,0.002,0.004,0.003,0.005
