,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.022,0.034,0.030,0.055,0.031,0.194,0.060,0.020,0.018,0.024,0.045
DCC_joint,0.017,0.015,0.026,0.032,0.027,0.019,0.030,0.019,0.020,0.011,0.022,0.022
DCC_bivariate_loop,0.026,0.016,0.025,0.034,0.025,0.018,0.030,0.019,0.021,0.010,0.020,0.022
SW_cross_validated,0.019,0.017,0.038,0.033,0.025,0.038,0.050,0.027,0.040,0.016,0.023,0.030
SW_15,0.014,0.021,0.038,0.027,0.021,0.035,0.050,0.033,0.041,0.035,0.049,0.033
SW_30,0.020,0.022,0.023,0.029,0.028,0.035,0.043,0.029,0.033,0.036,0.031,0.030
SW_60,0.020,0.025,0.027,0.040,0.032,0.022,0.015,0.029,0.016,0.028,0.031,0.026
SW_120,0.029,0.026,0.027,0.034,0.007,0.015,0.008,0.016,0.014,0.017,0.026,0.020
sFC,0.018,0.011,0.005,0.003,0.003,0.002,0.002,0.003,0.002,0.004,0.003,0.005
