,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.024,0.048,0.049,0.051,0.076,0.273,,0.098,0.100,0.069,0.080
DCC_joint,0.032,0.037,0.168,0.199,0.209,0.221,0.241,,0.214,0.101,0.113,0.154
DCC_bivariate_loop,0.045,0.048,0.095,0.119,0.122,0.136,0.153,,0.125,0.099,0.089,0.103
SW_cross_validated,0.070,0.073,0.127,0.136,0.138,0.150,0.162,,0.130,0.116,0.092,0.119
SW_15,0.229,0.200,0.204,0.209,0.198,0.199,0.204,,0.199,0.217,0.216,0.207
SW_30,0.157,0.146,0.145,0.147,0.138,0.152,0.165,,0.139,0.159,0.155,0.150
SW_60,0.111,0.103,0.108,0.123,0.145,0.197,0.252,,0.118,0.135,0.117,0.141
SW_120,0.081,0.081,0.107,0.182,0.296,0.375,0.399,,0.129,0.130,0.103,0.188
sFC,0.030,0.035,0.338,0.336,0.336,0.336,0.335,,0.386,0.101,0.145,0.238
