,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.31,7.18,10.12,58.64,36.69,21.14,11.27,-11.29
SVWP,0.31,,6.76,9.67,57.01,35.59,20.39,10.77,-11.43
DCC_joint,7.18,6.76,,3.22,50.53,28.60,13.22,3.96,-19.25
SW_cross_validated,10.12,9.67,3.22,,43.98,23.42,9.02,0.52,-21.87
SW_15,58.64,57.01,50.53,43.98,,-26.89,-43.25,-47.29,-81.50
SW_30,36.69,35.59,28.60,23.42,-26.89,,-17.43,-24.77,-55.45
SW_60,21.14,20.39,13.22,9.02,-43.25,-17.43,,-9.11,-36.81
SW_120,11.27,10.77,3.96,0.52,-47.29,-24.77,-9.11,,-24.06
sFC,-11.29,-11.43,-19.25,-21.87,-81.50,-55.45,-36.81,-24.06,
