,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,35,25,25,23,21,31,35
1,29,35,23,21,21,31,49
2,45,39,25,23,23,41,39
3,47,35,25,23,21,21,33
4,31,23,27,29,23,21,49
5,49,43,27,27,21,49,41
6,47,49,27,21,21,29,45
7,35,43,21,21,21,49,47
8,25,47,31,27,21,47,47
9,49,49,21,21,21,27,49
10,49,49,23,21,23,23,49
11,27,29,25,21,21,47,49
12,27,21,25,21,21,29,31
13,49,45,21,21,21,21,49
14,45,47,31,21,25,35,39
15,49,49,21,31,21,33,49
16,23,49,33,23,21,33,37
17,49,41,29,27,21,43,47
18,37,47,29,23,23,49,43
19,43,49,21,21,23,45,47
20,47,47,23,21,21,47,49
21,37,43,23,21,21,21,45
22,49,45,23,23,23,39,45
23,45,45,21,23,21,23,47
24,33,33,25,23,21,21,47
25,49,49,33,21,21,49,49
26,49,33,23,27,21,25,47
27,39,49,23,23,21,25,39
28,39,43,21,29,25,21,45
29,39,49,41,27,21,49,49
30,23,47,31,23,21,29,33
31,35,27,37,21,23,21,45
32,49,45,29,23,25,27,41
33,49,45,29,21,21,35,47
34,29,45,21,23,21,49,39
35,43,27,33,21,25,47,45
36,43,49,21,23,27,49,39
37,25,47,21,21,23,27,47
38,49,41,29,21,21,45,45
39,31,41,21,21,21,21,45
40,49,47,29,21,21,21,41
41,45,47,21,23,21,21,47
42,47,49,33,21,21,41,49
43,45,45,21,21,21,23,49
44,47,31,21,27,27,23,37
45,43,29,21,21,23,21,21
46,47,43,27,21,21,21,25
47,31,35,31,21,29,29,49
48,37,47,25,23,21,27,43
49,43,49,37,21,25,43,47
50,39,35,37,23,21,39,31
51,49,29,21,21,21,47,47
52,49,43,21,23,21,45,47
53,45,41,21,23,21,39,23
54,49,47,21,23,23,21,29
55,23,49,21,25,25,21,39
56,45,37,23,21,25,23,49
57,49,49,21,21,21,25,31
58,49,25,25,21,21,33,35
59,45,49,33,23,21,35,33
60,31,35,27,21,21,21,39
61,35,43,27,23,21,27,41
62,33,49,23,21,21,27,41
63,39,49,31,21,23,41,39
64,49,37,23,27,21,21,47
65,49,43,21,21,21,41,35
66,49,45,27,21,21,25,27
67,47,29,37,25,27,27,41
68,43,49,25,23,23,29,33
69,49,37,27,21,21,29,43
70,33,47,25,21,21,21,49
71,49,49,41,21,21,39,49
72,41,47,35,21,23,25,49
73,33,49,37,27,21,27,47
74,47,39,25,27,21,21,45
75,49,43,31,21,21,25,43
76,39,49,21,21,21,21,49
77,45,49,21,21,23,49,45
78,31,49,21,27,21,47,47
79,45,47,31,21,23,49,39
80,47,45,21,21,25,23,47
81,49,49,21,21,21,41,49
82,43,49,27,23,21,29,31
83,49,49,47,31,21,21,49
84,45,49,21,21,21,23,45
85,37,45,27,25,21,31,29
86,47,27,23,21,21,33,33
87,45,29,21,21,21,31,31
88,47,35,23,21,21,33,29
89,37,47,21,23,21,21,33
90,49,49,23,21,21,23,39
91,47,21,25,21,21,21,35
92,37,49,21,21,25,21,23
93,25,45,23,21,21,21,45
94,49,37,23,23,21,21,47
95,37,23,25,25,21,25,49
96,49,33,25,21,21,21,35
97,47,49,29,29,21,31,39
98,47,29,21,21,21,33,25
99,49,39,31,21,21,23,25
100,49,49,21,21,23,23,41
101,43,49,25,23,21,45,47
102,35,43,23,25,21,49,47
103,47,45,33,21,25,21,43
104,45,35,29,21,21,33,47
105,49,45,21,21,23,23,43
106,37,37,21,21,29,49,47
107,49,47,27,21,21,27,21
108,47,23,21,21,21,37,47
109,49,45,35,21,21,21,31
110,49,39,21,21,21,21,47
111,39,49,21,23,25,21,49
112,41,41,21,23,23,47,49
113,35,35,23,21,21,45,41
114,43,47,25,23,21,21,37
115,39,39,21,21,21,23,21
116,45,45,29,21,23,21,47
117,49,21,27,21,21,39,31
118,47,49,31,21,21,31,49
119,41,41,25,25,21,23,47
120,31,47,23,21,21,47,45
121,41,41,27,21,21,23,49
122,31,47,21,21,21,43,47
123,35,43,25,29,21,21,27
124,49,41,27,21,21,45,29
125,45,49,25,23,23,39,47
126,29,49,21,21,21,25,49
127,47,47,21,21,21,21,47
128,37,47,23,23,21,25,25
129,41,49,29,23,23,29,45
130,49,47,25,29,21,21,31
131,39,23,25,23,21,37,49
132,49,45,43,29,21,21,25
133,33,49,33,23,21,39,47
134,37,47,25,21,21,31,45
135,37,49,23,21,23,21,43
136,49,43,27,21,21,23,49
137,39,41,25,23,21,21,21
138,39,45,27,23,21,21,49
139,43,47,23,21,21,27,29
140,45,49,25,21,21,21,37
141,49,49,21,21,23,41,47
142,49,41,25,21,21,23,37
143,27,31,21,21,21,21,41
144,43,39,23,21,21,35,45
145,49,49,23,21,21,21,41
146,21,33,21,21,21,21,39
147,47,39,33,21,21,25,39
148,49,31,29,23,21,39,49
149,29,49,29,21,27,39,27
150,43,35,23,25,27,49,49
151,49,49,21,23,21,45,49
152,47,35,29,23,21,31,47
153,25,47,21,21,21,21,43
154,45,45,29,21,21,21,47
155,41,45,23,29,25,21,41
156,43,43,21,21,25,47,49
157,21,31,21,23,21,21,47
158,49,49,31,21,21,49,47
159,33,39,25,21,23,21,41
160,49,49,21,21,21,29,45
161,29,45,25,25,23,21,47
162,37,49,37,21,21,31,47
163,49,25,23,25,21,21,37
164,49,25,27,33,21,23,49
165,45,25,21,21,29,49,31
166,45,33,21,23,21,29,47
167,45,49,25,21,21,21,47
168,49,47,23,23,21,37,47
169,49,43,39,21,21,49,47
170,35,47,27,25,21,45,47
171,49,43,25,21,25,41,35
172,49,45,21,25,21,33,21
173,29,49,29,21,21,25,27
174,45,39,21,21,21,31,49
175,31,39,21,21,21,35,45
176,45,29,37,27,21,29,49
177,47,21,21,21,21,23,43
178,35,47,21,23,21,23,45
179,35,41,21,21,21,21,45
180,49,45,21,21,21,27,43
181,43,49,31,21,21,29,49
182,43,39,33,21,21,21,47
183,37,45,27,21,21,35,49
184,49,33,23,23,21,45,49
185,49,49,29,27,23,33,41
186,41,45,21,23,21,21,37
187,43,43,33,23,21,25,49
188,31,43,21,25,21,41,49
189,39,35,21,23,21,21,49
190,49,45,23,21,23,47,21
191,49,49,31,21,21,23,37
192,49,49,23,25,21,49,49
193,43,49,27,29,21,37,45
194,41,35,23,29,21,49,45
195,47,49,33,23,21,43,41
196,41,49,25,25,35,21,29
197,41,49,31,27,21,21,43
198,43,49,31,21,25,39,37
199,37,49,23,21,23,47,49
