,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,0.001,0.028,,,,,,,,0.014
SVWP,,,0.001,0.002,0.002,,,0.083,0.002,0.024,,0.019
DCC_joint,,,0.003,0.007,0.007,,,0.011,0.003,0.051,,0.014
DCC_bivariate_loop,,,0.003,0.005,0.004,,,0.010,0.003,0.040,,0.011
SW_cross_validated,,,0.004,0.005,0.006,0.008,0.008,0.012,0.003,0.022,0.011,0.009
SW_15,,,0.007,0.008,0.007,0.007,0.009,0.016,0.003,0.027,0.031,0.013
SW_30,,,0.005,0.005,0.006,0.006,0.007,0.011,0.003,0.022,0.026,0.010
SW_60,,,0.003,0.004,0.007,0.009,0.016,0.013,0.002,0.028,0.019,0.011
SW_120,,,0.002,0.007,0.017,0.058,0.013,0.021,0.001,0.026,0.011,0.017
sFC,,,,,,,,,,,,
