,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.028,0.018,0.046,0.033,0.049,0.081,0.213,0.082,0.072,0.080,0.056,0.069
DCC_joint,0.043,0.035,0.158,0.180,0.197,0.205,0.209,0.135,0.205,0.086,0.098,0.141
DCC_bivariate_loop,0.054,0.044,0.082,0.092,0.110,0.116,0.123,0.105,0.099,0.086,0.074,0.090
SW_cross_validated,0.078,0.065,0.127,0.127,0.162,0.161,0.173,0.133,0.144,0.104,0.087,0.124
SW_15,0.242,0.222,0.227,0.224,0.236,0.234,0.231,0.237,0.228,0.238,0.235,0.232
SW_30,0.167,0.153,0.159,0.154,0.166,0.173,0.175,0.170,0.164,0.170,0.162,0.165
SW_60,0.118,0.107,0.119,0.115,0.143,0.175,0.214,0.134,0.127,0.135,0.119,0.137
SW_120,0.093,0.085,0.109,0.150,0.231,0.292,0.309,0.163,0.118,0.125,0.097,0.161
sFC,0.042,0.034,0.255,0.253,0.254,0.254,0.254,0.144,0.292,0.084,0.115,0.180
