,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.017,0.012,0.015,0.021,0.014,0.035,0.046,0.009,0.009,0.005,0.010,0.018
DCC_joint,0.015,0.013,0.009,0.011,0.010,0.010,0.013,0.006,0.017,0.008,0.012,0.011
DCC_bivariate_loop,0.018,0.012,0.009,0.012,0.016,0.014,0.016,0.009,0.014,0.007,0.012,0.013
SW_cross_validated,0.008,0.008,0.021,0.017,0.024,0.009,0.017,0.005,0.021,0.006,0.008,0.013
SW_15,0.012,0.013,0.012,0.015,0.025,0.011,0.016,0.015,0.012,0.010,0.011,0.014
SW_30,0.011,0.011,0.013,0.014,0.025,0.009,0.014,0.011,0.015,0.013,0.011,0.013
SW_60,0.009,0.020,0.013,0.010,0.021,0.005,0.008,0.009,0.012,0.015,0.011,0.012
SW_120,0.014,0.027,0.015,0.008,0.008,0.010,0.005,0.014,0.013,0.041,0.022,0.016
sFC,0.012,0.014,0.003,0.001,0.002,0.001,0.002,0.003,0.002,0.006,0.005,0.005
