,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.006,0.005,0.012,0.013,0.015,0.045,0.063,0.016,0.007,0.002,0.004,0.017
DCC_joint,0.009,0.004,0.008,0.011,0.012,0.013,0.010,0.005,0.009,0.001,0.008,0.008
DCC_bivariate_loop,0.009,0.005,0.008,0.010,0.007,0.011,0.007,0.005,0.008,0.004,0.009,0.008
SW_cross_validated,0.009,0.004,0.011,0.013,0.012,0.015,0.011,0.007,0.009,0.004,0.008,0.009
SW_15,0.008,0.010,0.011,0.014,0.013,0.012,0.013,0.013,0.009,0.007,0.007,0.011
SW_30,0.005,0.009,0.011,0.013,0.013,0.011,0.009,0.009,0.008,0.007,0.009,0.009
SW_60,0.007,0.009,0.008,0.010,0.011,0.007,0.006,0.006,0.007,0.005,0.010,0.008
SW_120,0.007,0.007,0.009,0.006,0.004,0.005,0.002,0.004,0.006,0.006,0.013,0.006
sFC,0.008,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
