,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.019,0.015,0.038,0.042,0.046,0.141,0.200,0.050,0.023,0.008,0.013,0.054
DCC_joint,0.028,0.012,0.025,0.033,0.038,0.041,0.031,0.016,0.028,0.004,0.026,0.026
DCC_bivariate_loop,0.027,0.014,0.025,0.030,0.023,0.035,0.023,0.017,0.027,0.012,0.028,0.024
SW_cross_validated,0.029,0.014,0.035,0.042,0.038,0.047,0.035,0.023,0.029,0.014,0.025,0.030
SW_15,0.027,0.031,0.035,0.044,0.040,0.036,0.041,0.041,0.028,0.022,0.023,0.033
SW_30,0.016,0.029,0.036,0.042,0.042,0.034,0.028,0.028,0.024,0.022,0.028,0.030
SW_60,0.021,0.027,0.026,0.031,0.034,0.023,0.018,0.019,0.021,0.016,0.031,0.024
SW_120,0.022,0.022,0.028,0.018,0.013,0.017,0.007,0.014,0.019,0.020,0.042,0.020
sFC,0.026,0.012,0.005,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.006
