,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.014,0.017,0.075,0.073,0.101,0.205,0.598,0.210,0.184,0.201,0.137,0.165
DCC_joint,0.045,0.013,0.186,0.279,0.320,0.382,0.438,0.288,0.234,0.195,0.182,0.233
DCC_bivariate_loop,0.046,0.018,0.185,0.236,0.270,0.289,0.321,0.254,0.249,0.190,0.154,0.201
SW_cross_validated,0.077,0.026,0.115,0.134,0.156,0.247,0.240,0.230,0.157,0.207,0.118,0.155
SW_15,0.277,0.116,0.185,0.176,0.185,0.183,0.214,0.240,0.177,0.247,0.213,0.201
SW_30,0.185,0.075,0.135,0.140,0.152,0.198,0.245,0.201,0.157,0.200,0.149,0.167
SW_60,0.119,0.050,0.118,0.161,0.255,0.375,0.519,0.224,0.174,0.197,0.116,0.210
SW_120,0.095,0.039,0.167,0.359,0.605,0.781,0.835,0.383,0.230,0.216,0.125,0.349
sFC,0.045,0.011,0.711,0.709,0.709,0.709,0.709,0.386,0.819,0.199,0.304,0.483
