,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,0.004,0.087,,,,,,,,0.046
SVWP,,,0.004,0.006,0.007,,,0.261,0.005,0.076,,0.060
DCC_joint,,,0.010,0.022,0.021,,,0.034,0.010,0.161,,0.043
DCC_bivariate_loop,,,0.009,0.016,0.013,,,0.031,0.009,0.127,,0.034
SW_cross_validated,,,0.012,0.014,0.018,0.024,0.024,0.037,0.009,0.070,0.035,0.027
SW_15,,,0.021,0.025,0.023,0.022,0.028,0.050,0.011,0.086,0.097,0.040
SW_30,,,0.015,0.016,0.020,0.019,0.022,0.035,0.008,0.069,0.083,0.032
SW_60,,,0.008,0.012,0.021,0.028,0.052,0.041,0.007,0.087,0.060,0.035
SW_120,,,0.006,0.022,0.054,0.183,0.042,0.068,0.004,0.081,0.034,0.055
sFC,,,,,,,,,,,,
