,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.020,0.012,0.018,0.009,0.012,0.048,0.074,0.019,0.009,0.006,0.010,0.021
DCC_joint,0.013,0.013,0.010,0.010,0.010,0.008,0.012,0.006,0.015,0.008,0.011,0.011
DCC_bivariate_loop,0.016,0.012,0.008,0.011,0.015,0.011,0.015,0.009,0.014,0.008,0.012,0.012
SW_cross_validated,0.012,0.011,0.020,0.010,0.020,0.009,0.017,0.006,0.017,0.010,0.016,0.013
SW_15,0.011,0.009,0.011,0.009,0.015,0.010,0.016,0.009,0.011,0.009,0.011,0.011
SW_30,0.010,0.009,0.010,0.006,0.017,0.010,0.013,0.009,0.014,0.006,0.013,0.011
SW_60,0.010,0.014,0.010,0.007,0.017,0.006,0.008,0.010,0.015,0.010,0.016,0.011
SW_120,0.011,0.021,0.010,0.005,0.007,0.006,0.005,0.009,0.012,0.023,0.015,0.011
sFC,0.012,0.014,0.003,0.001,0.002,0.001,0.002,0.003,0.002,0.006,0.005,0.005
