,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.052,0.038,0.081,0.100,0.130,0.145,0.233,0.118,0.112,0.087,0.080,0.107
DCC_joint,0.053,0.038,0.161,0.181,0.199,0.207,0.211,0.136,0.204,0.089,0.101,0.144
DCC_bivariate_loop,0.062,0.047,0.087,0.094,0.113,0.120,0.127,0.106,0.102,0.090,0.078,0.093
SW_cross_validated,0.121,0.127,0.171,0.175,0.218,0.195,0.228,0.162,0.193,0.146,0.132,0.170
SW_15,0.285,0.286,0.285,0.284,0.297,0.295,0.297,0.286,0.287,0.289,0.286,0.289
SW_30,0.205,0.206,0.205,0.206,0.216,0.215,0.225,0.208,0.211,0.215,0.207,0.211
SW_60,0.149,0.155,0.157,0.152,0.175,0.197,0.237,0.162,0.169,0.169,0.157,0.171
SW_120,0.127,0.134,0.143,0.171,0.250,0.305,0.320,0.182,0.162,0.165,0.146,0.191
sFC,0.042,0.034,0.255,0.253,0.254,0.254,0.254,0.144,0.292,0.084,0.115,0.180
