,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,0.993,0.944,,,,,,,,0.968
SVWP,,,0.993,0.986,0.982,,,0.647,0.974,-0.057,,0.754
DCC_joint,,,0.966,0.921,0.901,,,0.744,0.959,0.182,,0.779
DCC_bivariate_loop,,,0.966,0.945,0.926,,,0.767,0.955,0.349,,0.818
SW_cross_validated,,,0.973,0.968,0.947,0.943,0.921,0.811,0.961,-0.032,0.882,0.819
SW_15,,,0.909,0.910,0.904,0.901,0.885,0.780,0.931,0.424,0.668,0.812
SW_30,,,0.956,0.951,0.947,0.938,0.916,0.839,0.959,0.445,0.795,0.861
SW_60,,,0.978,0.975,0.960,0.911,0.776,0.810,0.961,0.291,0.877,0.838
SW_120,,,0.988,0.951,0.669,-0.369,-0.654,0.287,0.952,-0.074,0.882,0.404
sFC,,,,,,,,,,,,
