,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.019,0.010,0.036,0.017,0.025,0.143,0.205,0.054,0.018,0.005,0.009,0.049
DCC_joint,0.028,0.009,0.025,0.032,0.035,0.042,0.029,0.016,0.029,0.004,0.020,0.025
DCC_bivariate_loop,0.028,0.015,0.023,0.029,0.021,0.032,0.022,0.017,0.027,0.012,0.026,0.023
SW_cross_validated,0.032,0.012,0.031,0.021,0.016,0.052,0.031,0.022,0.016,0.012,0.016,0.024
SW_15,0.027,0.021,0.034,0.030,0.014,0.025,0.025,0.025,0.021,0.031,0.024,0.025
SW_30,0.013,0.013,0.033,0.028,0.019,0.033,0.018,0.018,0.016,0.022,0.023,0.021
SW_60,0.017,0.013,0.023,0.017,0.027,0.026,0.019,0.013,0.011,0.010,0.022,0.018
SW_120,0.023,0.019,0.021,0.011,0.012,0.011,0.010,0.013,0.011,0.011,0.020,0.015
sFC,0.026,0.011,0.005,0.002,0.003,0.002,0.002,0.003,0.003,0.003,0.003,0.006
