,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,1.24,0.85,0.23,0.27,0.46,0.16,3.88,3.95
DCC_joint,,1.24,,1.02,1.81,1.67,3.72,2.58,6.69,7.73
DCC_bivariate_loop,,0.85,1.02,,1.14,1.01,3.14,1.83,9.26,11.52
SW_cross_validated,,0.23,1.81,1.14,,0.07,1.27,0.17,7.17,7.76
SW_15,,0.27,1.67,1.01,0.07,,1.30,0.25,6.74,7.24
SW_30,,0.46,3.72,3.14,1.27,1.30,,1.44,11.05,12.69
SW_60,,0.16,2.58,1.83,0.17,0.25,1.44,,10.68,12.85
SW_120,,3.88,6.69,9.26,7.17,6.74,11.05,10.68,,0.02
sFC,,3.95,7.73,11.52,7.76,7.24,12.69,12.85,0.02,
