,kernel_lengthscales
sub-A00023510,0.247
sub-A00027544,0.197
sub-A00028177,0.173
sub-A00028185,1.537
sub-A00028207,0.349
sub-A00028287,0.409
sub-A00028352,0.943
sub-A00028429,0.361
sub-A00028606,0.202
sub-A00028656,0.403
sub-A00028694,0.421
sub-A00028766,0.254
sub-A00028844,0.327
sub-A00029076,0.267
sub-A00029092,0.171
sub-A00029126,0.457
sub-A00029127,0.274
sub-A00029231,0.277
sub-A00029303,0.327
sub-A00029304,0.153
sub-A00029979,0.434
sub-A00030913,0.149
sub-A00030989,0.391
sub-A00031216,0.168
sub-A00031217,0.206
sub-A00031272,0.206
sub-A00031459,0.441
sub-A00031549,0.179
sub-A00031625,0.352
sub-A00031871,0.324
sub-A00032007,0.313
sub-A00033180,0.206
sub-A00033231,0.163
sub-A00033232,0.280
sub-A00033247,0.276
sub-A00033248,0.166
sub-A00033640,0.338
sub-A00033643,0.166
sub-A00033747,0.311
sub-A00034193,0.347
sub-A00034385,0.247
sub-A00034854,0.708
sub-A00035036,0.302
sub-A00035363,0.227
sub-A00035553,0.156
sub-A00035608,0.213
sub-A00035840,0.306
sub-A00035879,0.891
sub-A00035881,0.260
sub-A00035926,0.232
sub-A00035943,0.307
sub-A00035960,0.187
sub-A00037081,0.327
sub-A00037112,0.324
sub-A00037117,0.248
sub-A00037118,0.222
sub-A00037122,0.378
sub-A00037123,0.317
sub-A00037160,0.183
sub-A00037170,0.236
sub-A00037198,0.381
sub-A00037266,0.162
sub-A00037378,0.316
sub-A00037387,0.254
sub-A00037396,0.340
sub-A00037445,0.493
sub-A00037476,0.412
sub-A00037511,0.288
sub-A00037531,0.252
sub-A00037647,0.303
sub-A00037725,0.160
sub-A00037877,0.233
sub-A00038158,0.218
sub-A00038159,0.376
sub-A00038189,0.480
sub-A00038285,0.433
sub-A00038522,0.214
sub-A00038605,0.290
sub-A00038616,0.244
sub-A00038642,0.484
sub-A00038718,0.372
sub-A00038731,0.474
sub-A00038831,0.253
sub-A00038832,0.264
sub-A00038998,0.432
sub-A00039084,0.230
sub-A00039143,0.385
sub-A00039159,0.204
