,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.027,0.034,0.038,0.038,0.029,0.261,0.013,0.212,0.285,0.104
DCC_bivariate_loop,,,0.008,0.013,0.018,0.022,0.022,0.044,0.008,0.106,0.043,0.032
SW_cross_validated,,,0.005,0.012,0.052,0.731,0.097,0.090,0.012,0.063,0.098,0.129
SW_15,,,0.016,0.023,0.022,0.029,0.018,0.048,0.014,0.118,0.099,0.043
SW_30,,,0.010,0.012,0.017,0.020,0.017,0.053,0.012,0.108,0.107,0.040
SW_60,,,0.008,0.008,0.018,0.023,0.041,0.083,0.009,0.101,0.102,0.044
SW_120,,,0.011,0.012,0.061,0.097,0.077,0.079,0.007,0.123,0.083,0.061
sFC,,,,,,,,,,,,
