,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.007,0.027,0.039,0.038,0.101,0.230,0.009,0.013,0.041,0.009,0.028,0.049
DCC_joint,0.019,0.033,0.046,0.024,0.016,0.021,0.014,0.007,0.029,0.011,0.012,0.021
DCC_bivariate_loop,0.019,0.033,0.024,0.027,0.031,0.032,0.031,0.021,0.022,0.014,0.025,0.026
SW_cross_validated,0.015,0.025,0.028,0.066,0.094,0.171,0.007,0.009,0.026,0.007,0.029,0.044
SW_15,0.024,0.037,0.030,0.033,0.033,0.049,0.033,0.030,0.028,0.035,0.027,0.033
SW_30,0.014,0.035,0.028,0.027,0.032,0.039,0.031,0.033,0.029,0.023,0.027,0.029
SW_60,0.021,0.030,0.028,0.023,0.028,0.024,0.015,0.036,0.023,0.021,0.033,0.026
SW_120,0.022,0.032,0.044,0.020,0.013,0.010,0.015,0.014,0.016,0.017,0.041,0.022
sFC,0.021,0.009,0.005,0.001,0.002,0.005,0.003,0.003,0.001,0.008,0.003,0.006
