,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.003,0.053,0.126,0.152,0.234,0.346,0.694,0.377,0.240,0.205,0.161,0.236
DCC_joint,0.032,0.035,0.425,0.580,0.620,0.642,0.663,0.377,0.290,0.202,0.279,0.377
DCC_bivariate_loop,0.033,0.046,0.184,0.234,0.273,0.301,0.315,0.269,0.248,0.186,0.168,0.205
SW_cross_validated,0.056,0.172,0.151,0.286,0.366,0.621,0.660,0.417,0.265,0.222,0.184,0.309
SW_15,0.234,0.328,0.299,0.299,0.320,0.312,0.310,0.298,0.340,0.296,0.296,0.303
SW_30,0.161,0.241,0.211,0.205,0.230,0.252,0.282,0.244,0.257,0.221,0.236,0.231
SW_60,0.107,0.178,0.162,0.183,0.266,0.386,0.513,0.246,0.243,0.211,0.188,0.244
SW_120,0.079,0.162,0.158,0.358,0.613,0.786,0.835,0.380,0.274,0.237,0.175,0.369
sFC,0.029,0.014,0.712,0.709,0.708,0.710,0.709,0.386,0.816,0.201,0.302,0.482
