,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.041,0.042,0.053,0.066,0.086,0.085,0.117,0.074,0.071,0.052,0.047,0.067
DCC_joint,0.050,0.052,0.100,0.110,0.113,0.116,0.117,0.079,0.148,0.059,0.065,0.092
DCC_bivariate_loop,0.060,0.062,0.064,0.068,0.073,0.074,0.075,0.077,0.073,0.068,0.065,0.069
SW_cross_validated,0.096,0.101,0.107,0.120,0.135,0.151,0.141,0.118,0.129,0.104,0.102,0.118
SW_15,0.262,0.265,0.263,0.266,0.270,0.266,0.265,0.268,0.271,0.267,0.266,0.266
SW_30,0.188,0.192,0.191,0.192,0.193,0.193,0.194,0.195,0.196,0.194,0.194,0.193
SW_60,0.136,0.140,0.140,0.141,0.143,0.151,0.161,0.146,0.146,0.144,0.142,0.145
SW_120,0.110,0.114,0.116,0.128,0.149,0.167,0.173,0.133,0.122,0.126,0.123,0.133
sFC,0.048,0.049,0.121,0.121,0.121,0.121,0.121,0.078,0.137,0.057,0.065,0.094
