,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.003,0.027,0.075,0.087,0.124,0.326,0.693,0.376,0.219,0.202,0.147,0.207
DCC_joint,0.032,0.014,0.425,0.578,0.620,0.642,0.662,0.375,0.289,0.200,0.277,0.374
DCC_bivariate_loop,0.032,0.026,0.183,0.236,0.271,0.300,0.315,0.266,0.247,0.183,0.164,0.202
SW_cross_validated,0.062,0.034,0.161,0.295,0.363,0.623,0.654,0.431,0.204,0.206,0.131,0.288
SW_15,0.264,0.118,0.163,0.186,0.191,0.190,0.201,0.241,0.177,0.235,0.217,0.198
SW_30,0.172,0.085,0.116,0.139,0.154,0.189,0.240,0.215,0.151,0.191,0.168,0.165
SW_60,0.115,0.061,0.104,0.166,0.254,0.375,0.509,0.237,0.181,0.198,0.138,0.212
SW_120,0.086,0.055,0.165,0.365,0.609,0.786,0.835,0.386,0.228,0.214,0.135,0.351
sFC,0.029,0.014,0.712,0.709,0.708,0.710,0.709,0.386,0.816,0.201,0.302,0.482
