,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.031,0.033,0.033,0.036,0.037,0.063,0.113,0.069,0.049,0.045,0.037,0.050
DCC_joint,0.048,0.049,0.099,0.110,0.113,0.115,0.117,0.078,0.148,0.057,0.063,0.091
DCC_bivariate_loop,0.058,0.059,0.062,0.068,0.072,0.074,0.075,0.076,0.071,0.065,0.064,0.068
SW_cross_validated,0.078,0.079,0.093,0.109,0.124,0.141,0.127,0.105,0.113,0.085,0.082,0.103
SW_15,0.260,0.259,0.258,0.260,0.262,0.261,0.257,0.263,0.261,0.261,0.261,0.260
SW_30,0.180,0.180,0.179,0.181,0.180,0.182,0.181,0.184,0.181,0.183,0.182,0.181
SW_60,0.127,0.128,0.128,0.132,0.133,0.142,0.151,0.137,0.133,0.133,0.132,0.134
SW_120,0.100,0.101,0.106,0.118,0.142,0.161,0.166,0.123,0.111,0.113,0.110,0.123
sFC,0.048,0.049,0.121,0.121,0.121,0.121,0.121,0.078,0.137,0.057,0.065,0.094
