,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.887,0.870,0.848,0.820,0.791,0.449,0.938,0.128,0.727,0.717
DCC_bivariate_loop,,,0.967,0.944,0.925,0.906,0.897,0.727,0.955,0.457,0.849,0.847
SW_cross_validated,,,0.990,0.967,0.926,0.120,0.579,-0.107,0.951,-0.011,0.822,0.582
SW_15,,,0.916,0.911,0.901,0.905,0.903,0.751,0.914,0.515,0.661,0.819
SW_30,,,0.963,0.960,0.948,0.941,0.929,0.798,0.952,0.541,0.754,0.865
SW_60,,,0.981,0.978,0.959,0.922,0.805,0.779,0.958,0.345,0.818,0.838
SW_120,,,0.987,0.948,0.631,-0.501,-0.664,0.245,0.949,-0.040,0.857,0.379
sFC,,,,,,,,,,,,
