,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.848,0.906,1.072,0.960,1.170,1.310,0.837,0.936,0.791,0.836,0.921
1,0.849,0.832,1.146,1.005,0.999,1.262,0.824,0.763,1.099,0.848,0.888
2,0.878,0.970,1.167,0.976,0.887,1.044,0.855,0.835,0.990,0.867,0.921
3,0.875,0.829,0.994,0.897,1.068,0.871,0.817,0.853,0.907,0.861,0.900
4,0.853,0.831,1.252,1.105,0.983,1.083,0.789,0.827,0.880,0.853,0.876
5,0.866,0.752,1.014,0.991,1.104,0.833,0.846,1.166,0.825,0.893,0.921
6,0.857,0.836,1.005,1.066,0.888,1.306,0.916,0.786,1.122,0.858,0.909
7,0.898,0.885,1.177,1.175,0.841,1.495,0.976,0.859,0.846,0.854,0.858
8,0.881,0.805,1.052,0.954,0.896,1.226,0.928,0.907,0.854,0.909,0.932
9,0.855,0.861,1.294,0.969,0.864,1.064,0.891,0.868,0.887,0.853,0.911
