,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.276,0.728,0.644,0.170,0.197,0.190,1.411,0.210,0.360,1.800,1.285
1,1.289,2.424,0.430,0.206,0.164,0.201,0.833,0.351,0.323,1.826,0.637
2,1.616,1.949,0.625,0.173,0.156,0.136,1.687,0.158,0.362,1.635,0.939
3,1.653,2.498,0.529,0.141,0.166,1.060,1.024,1.379,0.416,0.956,0.962
4,0.826,1.212,0.531,0.215,0.183,0.137,0.510,1.332,0.321,2.162,0.716
5,1.818,1.082,0.542,0.200,0.194,1.208,1.410,0.191,0.402,1.843,0.836
6,1.616,2.275,0.576,0.272,0.098,0.184,1.097,0.585,0.237,1.053,1.404
7,1.359,2.443,0.723,0.242,0.109,0.165,0.468,0.881,0.373,1.614,0.779
8,0.778,2.058,0.604,0.204,0.115,0.157,1.404,0.172,0.331,1.611,0.793
9,1.343,2.226,0.580,0.236,0.128,0.140,1.078,1.901,0.406,1.791,1.102
