,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.653,0.812,1.135,0.989,0.890,1.293,0.815,0.889,1.303,0.826,0.913
1,0.859,0.842,1.147,1.128,0.895,1.334,1.347,0.746,1.009,0.838,0.880
2,0.875,0.952,1.273,0.872,1.172,0.939,0.846,0.971,0.980,0.817,0.917
3,0.873,0.791,0.978,0.892,1.012,0.899,1.222,1.080,0.918,0.845,0.852
4,0.826,0.778,1.198,1.069,1.200,1.407,1.074,0.976,0.902,0.838,0.883
5,0.857,0.781,0.985,1.005,1.263,1.542,0.849,1.022,0.764,0.915,0.927
6,0.846,0.811,1.088,1.047,0.827,1.051,0.896,0.859,1.090,0.765,0.914
7,0.787,0.900,1.036,0.980,0.965,1.698,1.192,0.862,0.825,0.825,0.842
8,0.849,0.803,1.060,1.049,0.880,1.348,0.890,1.271,0.909,0.922,0.959
9,0.858,0.832,0.914,1.067,0.909,1.249,0.893,0.855,0.904,0.846,0.898
