,0,1,2,3
147737,29.0,29.0,29.0,29.0
148133,29.0,29.0,29.0,29.0
148335,29.0,29.0,29.0,29.0
148436,29.0,29.0,29.0,29.0
148840,29.0,29.0,29.0,29.0
148941,29.0,29.0,29.0,29.0
149236,29.0,29.0,29.0,29.0
149741,29.0,29.0,29.0,29.0
149842,29.0,29.0,29.0,29.0
150625,29.0,29.0,29.0,29.0
150726,29.0,29.0,29.0,29.0
150928,29.0,29.0,29.0,29.0
151324,29.0,29.0,29.0,29.0
151425,29.0,29.0,29.0,29.0
151728,29.0,29.0,29.0,29.0
151829,29.0,29.0,29.0,29.0
151930,29.0,29.0,29.0,29.0
152225,29.0,29.0,29.0,29.0
152427,29.0,29.0,29.0,29.0
152831,29.0,29.0,29.0,29.0
153025,29.0,29.0,29.0,29.0
153126,29.0,29.0,29.0,29.0
153227,29.0,29.0,29.0,29.0
153631,29.0,29.0,29.0,29.0
153732,29.0,29.0,29.0,29.0
153833,29.0,29.0,29.0,29.0
153934,29.0,29.0,29.0,29.0
154229,29.0,29.0,29.0,29.0
154330,29.0,29.0,29.0,29.0
154532,29.0,29.0,29.0,29.0
154734,29.0,29.0,29.0,29.0
154835,29.0,29.0,29.0,29.0
154936,29.0,29.0,29.0,29.0
155635,29.0,29.0,29.0,29.0
155938,29.0,29.0,29.0,29.0
156031,29.0,29.0,29.0,29.0
156435,29.0,29.0,29.0,29.0
156536,29.0,29.0,29.0,29.0
157437,29.0,29.0,29.0,29.0
157942,29.0,29.0,29.0,29.0
158136,29.0,29.0,29.0,29.0
158338,29.0,29.0,29.0,29.0
158843,29.0,29.0,29.0,29.0
159138,29.0,29.0,29.0,29.0
159340,29.0,29.0,29.0,29.0
159441,29.0,29.0,29.0,29.0
159744,29.0,29.0,29.0,29.0
160729,29.0,29.0,29.0,29.0
160830,29.0,29.0,29.0,29.0
161630,29.0,29.0,29.0,29.0
161832,29.0,29.0,29.0,29.0
162026,29.0,29.0,29.0,29.0
162228,29.0,29.0,29.0,29.0
162733,29.0,29.0,29.0,29.0
162935,29.0,29.0,29.0,29.0
163129,29.0,29.0,29.0,29.0
163331,29.0,29.0,29.0,29.0
163836,29.0,29.0,29.0,29.0
164030,29.0,29.0,29.0,29.0
164131,29.0,29.0,29.0,29.0
164636,29.0,29.0,29.0,29.0
164939,29.0,29.0,29.0,29.0
165032,29.0,29.0,29.0,29.0
165436,29.0,29.0,29.0,29.0
165638,29.0,29.0,29.0,29.0
165941,29.0,29.0,29.0,29.0
166438,29.0,29.0,29.0,29.0
166640,29.0,29.0,29.0,29.0
167036,29.0,29.0,29.0,29.0
167238,29.0,29.0,29.0,29.0
167440,29.0,29.0,29.0,29.0
168139,29.0,29.0,29.0,29.0
168240,29.0,29.0,29.0,29.0
168341,29.0,29.0,29.0,29.0
168745,29.0,29.0,29.0,29.0
168947,29.0,29.0,29.0,29.0
169040,249.0,29.0,29.0,29.0
169444,29.0,29.0,29.0,29.0
169545,29.0,29.0,29.0,29.0
169949,29.0,29.0,29.0,29.0
170631,29.0,29.0,29.0,29.0
171330,29.0,29.0,29.0,29.0
171532,29.0,29.0,29.0,29.0
171633,29.0,29.0,29.0,29.0
172029,29.0,29.0,29.0,29.0
172130,29.0,29.0,29.0,29.0
172433,29.0,29.0,29.0,29.0
172534,29.0,29.0,29.0,29.0
172938,29.0,29.0,29.0,29.0
173334,29.0,29.0,29.0,29.0
173435,29.0,29.0,29.0,29.0
173536,29.0,29.0,29.0,29.0
173637,29.0,29.0,29.0,29.0
173738,29.0,29.0,29.0,29.0
173839,29.0,29.0,29.0,29.0
173940,29.0,29.0,29.0,29.0
174841,29.0,29.0,29.0,29.0
175035,29.0,29.0,29.0,29.0
175136,29.0,29.0,29.0,29.0
175237,29.0,29.0,29.0,29.0
175338,29.0,29.0,29.0,29.0
175540,29.0,29.0,29.0,29.0
175742,29.0,29.0,29.0,29.0
176037,29.0,29.0,29.0,29.0
176239,29.0,29.0,29.0,29.0
176441,29.0,29.0,29.0,29.0
176744,29.0,29.0,29.0,29.0
176845,29.0,29.0,29.0,29.0
177140,29.0,29.0,29.0,29.0
177241,29.0,29.0,29.0,29.0
177645,29.0,29.0,29.0,29.0
178142,29.0,29.0,29.0,29.0
178243,29.0,29.0,29.0,29.0
178647,29.0,29.0,29.0,29.0
178748,29.0,29.0,29.0,29.0
178849,29.0,29.0,29.0,29.0
178950,29.0,29.0,29.0,29.0
179245,29.0,29.0,29.0,29.0
179346,29.0,29.0,29.0,29.0
180129,29.0,29.0,29.0,29.0
180230,29.0,29.0,29.0,29.0
180432,29.0,29.0,29.0,29.0
180533,29.0,29.0,29.0,29.0
180735,29.0,29.0,29.0,29.0
180836,29.0,29.0,29.0,29.0
180937,29.0,29.0,29.0,29.0
181131,29.0,29.0,29.0,29.0
181232,29.0,29.0,29.0,29.0
181636,29.0,29.0,29.0,29.0
182032,29.0,29.0,29.0,29.0
182436,29.0,29.0,29.0,29.0
183034,29.0,29.0,29.0,29.0
