,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.991,0.982,0.976,0.832,0.969,-0.014,0.789
SVWP,,,0.991,0.982,0.977,0.707,0.968,-0.013,0.769
DCC_joint,,,0.965,0.945,0.923,0.738,0.956,0.395,0.820
SW_cross_validated,,,0.989,0.982,0.976,0.843,0.979,0.282,0.842
SW_15,,,0.913,0.913,0.909,0.772,0.917,0.462,0.814
SW_30,,,0.957,0.955,0.949,0.822,0.948,0.471,0.851
SW_60,,,0.982,0.974,0.957,0.797,0.956,0.294,0.827
SW_120,,,0.990,0.953,0.659,0.260,0.945,-0.065,0.624
sFC,,,,,,,,,
