,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,0.029,0.013,0.021,0.024,0.021,,,0.030,0.025,0.008,,0.021
SVWP,0.029,0.013,0.026,0.026,0.029,,,0.072,0.028,0.008,,0.029
DCC_joint,0.035,0.014,0.027,0.026,0.029,,,0.023,0.024,0.012,,0.024
SW_cross_validated,0.034,,,,,,,,,,,0.034
SW_15,0.024,0.016,0.025,0.025,0.027,,,0.026,0.022,0.027,,0.024
SW_30,0.026,0.013,0.026,0.026,0.025,,,0.023,0.021,0.022,,0.023
SW_60,0.027,0.012,0.025,0.024,0.023,,,0.020,0.016,0.016,,0.020
SW_120,0.034,0.015,0.022,0.022,0.016,,,0.014,0.011,0.016,,0.019
sFC,0.030,0.012,0.004,0.004,0.004,,,0.005,0.004,0.007,,0.009
