,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,0.019,0.049,0.107,0.142,0.171,,,0.215,0.211,0.202,,0.140
SVWP,0.019,0.050,0.110,0.143,0.172,,,0.248,0.213,0.202,,0.145
DCC_joint,0.052,0.029,0.184,0.230,0.269,,,0.260,0.238,0.184,,0.181
SW_cross_validated,0.084,,,,,,,,,,,0.084
SW_15,0.242,0.314,0.300,0.302,0.302,,,0.282,0.331,0.280,,0.294
SW_30,0.175,0.220,0.213,0.218,0.228,,,0.229,0.260,0.222,,0.221
SW_60,0.126,0.163,0.150,0.185,0.265,,,0.237,0.243,0.211,,0.197
SW_120,0.100,0.149,0.152,0.347,0.595,,,0.371,0.280,0.235,,0.278
sFC,0.044,0.015,0.691,0.691,0.691,,,0.377,0.795,0.195,,0.438
