,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.000,0.001,0.001,0.005,0.001,0.005,0.002
SVWP,,,0.000,0.001,0.001,0.018,0.001,0.006,0.004
DCC_joint,,,0.001,0.001,0.001,0.004,0.001,0.009,0.003
SW_cross_validated,,,0.000,0.000,0.001,0.003,0.000,0.015,0.003
SW_15,,,0.001,0.001,0.001,0.004,0.001,0.008,0.003
SW_30,,,0.001,0.001,0.001,0.003,0.001,0.008,0.003
SW_60,,,0.001,0.001,0.001,0.003,0.001,0.009,0.003
SW_120,,,0.000,0.001,0.004,0.004,0.001,0.008,0.003
sFC,,,,,,,,,
