,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,147,145,53,35,31,25,27,49
1,167,165,53,31,21,25,41,147
2,173,175,43,39,27,51,33,79
3,173,123,85,33,21,37,33,157
4,77,89,49,25,27,47,65,171
5,179,71,49,31,33,37,35,157
6,119,175,61,33,35,27,37,53
7,151,129,25,45,31,61,33,123
8,111,179,53,25,23,25,35,139
9,147,179,39,43,23,45,37,41
10,141,177,41,33,35,47,33,177
11,151,133,61,45,21,55,29,171
12,137,133,57,43,23,47,31,179
13,103,137,39,37,23,65,25,65
14,177,87,47,31,21,43,25,115
15,167,155,51,35,21,59,21,165
16,177,87,41,45,21,45,39,35
17,167,179,43,37,23,51,25,53
18,87,107,69,31,29,43,39,143
19,121,175,55,23,21,39,41,155
20,161,177,43,29,33,31,29,41
21,169,179,69,25,27,61,37,99
22,129,177,49,21,25,53,31,69
23,73,179,51,29,23,25,27,137
24,35,179,37,37,29,45,31,67
25,77,145,25,35,27,47,37,73
26,125,177,47,31,31,35,35,107
27,177,77,57,27,35,67,21,149
28,153,69,43,47,29,47,25,63
29,179,69,41,33,23,49,37,95
30,117,141,35,29,29,61,23,39
31,159,143,57,21,23,49,33,85
32,79,157,45,39,29,65,37,35
33,141,43,43,41,27,39,49,163
34,167,171,33,35,27,35,41,175
35,101,73,39,39,25,59,45,91
36,95,141,59,35,27,27,39,43
37,179,111,63,47,21,59,25,89
38,105,143,55,37,35,59,21,105
39,89,141,45,49,33,55,43,55
40,169,77,25,39,29,23,23,55
41,139,177,33,29,23,49,31,157
42,167,145,39,39,31,75,25,179
43,171,179,43,37,21,45,37,41
44,171,137,25,31,31,25,43,159
45,155,99,47,51,29,69,79,57
46,173,151,59,31,23,39,27,177
47,145,165,23,31,25,37,25,179
48,179,83,55,31,29,21,39,179
49,179,151,45,41,31,51,73,173
50,165,109,41,33,29,59,27,61
51,175,107,37,27,35,29,21,45
52,37,95,31,25,27,35,57,51
53,155,71,59,37,25,41,27,171
54,113,67,47,27,27,37,37,55
55,131,43,51,25,27,37,39,173
56,77,65,31,25,23,43,27,167
57,179,101,59,39,21,49,29,167
58,123,47,31,31,33,27,77,47
59,113,91,25,37,29,69,29,113
60,167,177,67,27,27,39,25,91
61,125,133,63,35,31,27,25,127
62,87,165,45,57,21,75,25,85
63,127,145,43,45,25,39,31,125
64,51,157,45,27,25,61,63,177
65,179,93,39,51,25,41,29,113
66,73,155,53,41,25,61,35,63
67,101,117,35,21,33,47,31,59
68,179,155,27,37,37,41,23,99
69,143,177,33,33,29,21,39,141
70,179,161,33,39,39,25,29,57
71,153,71,51,39,27,31,31,175
72,131,107,33,25,35,21,25,179
73,95,83,45,39,23,25,43,177
74,135,135,33,27,31,49,41,179
75,169,115,41,33,31,45,33,23
76,69,145,51,43,25,27,25,59
77,171,179,39,23,23,39,23,175
78,161,179,53,37,35,63,31,25
79,167,137,37,31,27,41,33,95
80,147,121,37,27,37,41,21,165
81,75,85,55,45,23,51,25,177
82,165,125,39,31,25,29,53,53
83,133,167,45,31,25,37,55,157
84,165,143,45,31,29,63,39,179
85,129,157,45,35,35,29,51,55
86,115,153,39,25,21,73,35,119
87,173,179,39,33,27,21,41,147
88,177,121,47,31,23,43,31,35
89,111,97,41,39,23,29,25,77
90,99,135,51,47,29,35,41,161
91,119,41,65,43,21,29,27,89
92,111,177,41,37,21,57,51,95
93,173,83,45,37,25,43,41,103
94,79,81,29,27,27,27,23,59
95,127,177,69,25,31,35,31,175
96,177,117,57,33,23,45,55,153
97,133,95,53,55,27,61,33,179
98,109,37,51,35,27,49,21,115
99,113,105,43,23,27,53,37,43
100,175,99,41,29,27,69,47,83
101,159,111,67,49,27,37,31,57
102,169,119,49,35,27,31,31,177
103,73,143,35,39,29,29,37,45
104,175,91,57,39,31,23,53,59
105,139,113,45,35,31,57,27,31
106,179,179,39,23,29,47,29,51
107,173,67,41,49,23,49,53,159
108,109,179,33,37,29,43,23,45
109,97,171,57,45,23,49,55,153
110,107,179,33,37,33,43,33,25
111,175,101,53,33,35,71,77,41
112,169,35,55,43,21,41,53,101
113,103,175,51,37,27,49,37,71
114,179,177,53,37,23,33,25,117
115,57,169,57,33,23,71,31,57
116,141,121,31,45,25,33,35,165
117,179,179,51,37,27,47,55,169
118,103,83,37,33,23,51,27,173
119,141,169,37,37,29,23,35,117
120,157,169,27,27,25,31,43,177
121,115,87,39,23,25,49,21,31
122,159,173,71,37,23,63,35,27
123,137,125,21,27,23,63,35,177
124,59,75,31,35,29,33,37,59
125,89,179,41,29,21,33,21,179
126,155,165,45,39,27,41,45,45
127,135,107,35,43,25,31,25,107
128,103,45,41,35,25,49,57,89
129,175,127,47,53,29,49,25,99
130,131,135,29,31,23,29,29,49
131,179,89,47,39,29,39,33,107
132,121,77,25,51,31,41,51,57
133,139,101,59,31,33,43,59,73
134,71,161,23,35,25,35,39,35
135,179,171,61,43,27,57,25,77
136,163,179,47,31,31,47,65,45
137,121,99,55,33,21,29,59,35
138,33,177,49,31,37,59,35,71
139,179,143,65,29,23,59,37,159
140,165,127,43,25,23,33,33,179
141,111,167,53,37,27,57,27,175
142,129,97,45,29,23,35,57,51
143,161,45,59,39,29,45,71,119
144,177,73,33,25,25,35,31,177
145,79,129,37,37,31,23,33,161
146,179,93,57,47,21,23,25,171
147,143,137,73,25,35,59,21,53
148,165,99,45,53,23,59,49,101
149,177,91,53,31,21,47,39,173
150,179,133,85,25,31,41,25,53
151,153,161,57,37,23,27,31,159
152,179,85,47,23,23,45,31,161
153,155,61,41,49,21,67,25,153
154,117,177,75,21,23,21,31,135
155,169,155,47,53,31,29,33,69
156,179,177,41,33,25,37,23,111
157,175,177,33,37,29,45,35,63
158,125,97,65,29,29,21,31,135
159,125,99,77,51,29,55,35,159
160,163,179,73,23,25,31,67,59
161,67,179,41,29,29,59,53,147
162,135,175,31,49,25,39,39,49
163,137,167,57,35,27,33,25,77
164,179,175,41,27,33,67,33,175
165,179,167,45,49,21,35,21,45
166,141,69,27,41,31,41,27,171
167,161,157,59,33,29,33,69,171
168,67,145,53,53,29,57,33,107
169,163,161,45,45,27,31,27,35
170,109,179,41,31,31,67,39,179
171,175,91,41,33,27,35,39,141
172,179,163,27,33,21,57,43,63
173,179,175,55,29,27,23,29,35
174,99,155,37,35,21,43,29,131
175,179,131,57,23,31,35,25,159
176,179,49,53,25,25,33,37,139
177,65,165,61,47,27,27,63,145
178,177,171,73,49,29,35,33,93
179,179,179,47,41,23,47,25,81
180,179,179,49,29,25,39,47,175
181,175,97,65,21,27,45,33,179
182,179,179,57,23,23,27,23,83
183,177,135,47,41,31,33,35,51
184,163,107,33,29,23,49,35,153
185,143,157,41,49,23,33,43,51
186,141,147,27,33,43,43,23,151
187,95,113,71,53,27,61,33,59
188,153,95,61,45,29,75,27,63
189,35,167,83,31,27,69,33,55
190,177,171,47,51,21,47,25,129
191,143,161,51,43,23,59,23,25
192,81,99,33,29,31,51,21,167
193,111,145,41,27,21,31,35,35
194,147,177,57,31,29,41,27,95
195,179,179,59,47,33,41,63,65
196,173,179,49,27,39,73,29,131
197,147,111,41,27,33,61,31,41
198,117,129,47,31,29,49,25,119
199,111,135,63,39,21,37,27,59
