,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.006,0.010,0.010,0.074,0.009,0.077,0.031
SVWP,,,0.006,0.010,0.010,0.252,0.009,0.087,0.062
DCC_joint,,,0.011,0.013,0.017,0.054,0.009,0.130,0.039
SW_cross_validated,,,0.005,0.007,0.008,0.042,0.005,0.207,0.046
SW_15,,,0.019,0.018,0.019,0.050,0.016,0.107,0.038
SW_30,,,0.013,0.014,0.015,0.042,0.012,0.117,0.036
SW_60,,,0.008,0.011,0.016,0.047,0.011,0.121,0.036
SW_120,,,0.004,0.017,0.062,0.056,0.009,0.113,0.044
sFC,,,,,,,,,
