,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,35,25,25,23,21,29,47
1,29,35,27,23,21,35,49
2,45,39,41,21,21,41,33
3,47,35,21,25,21,21,41
4,31,23,29,25,25,21,49
5,49,43,27,21,21,43,43
6,47,49,35,21,21,29,41
7,35,43,39,29,21,21,47
8,25,47,35,31,27,37,45
9,49,49,25,25,21,29,41
10,49,49,21,29,21,23,39
11,27,29,35,23,33,29,49
12,27,21,25,23,21,29,31
13,49,45,25,21,37,21,39
14,45,47,23,23,25,23,43
15,49,49,49,21,23,21,49
16,23,49,35,21,23,25,37
17,49,41,29,25,21,45,37
18,37,47,37,21,21,21,43
19,43,49,31,21,25,21,47
20,47,47,45,21,23,21,49
21,37,43,37,23,27,35,49
22,49,45,39,25,27,49,49
23,45,45,25,21,23,23,47
24,33,33,27,21,21,35,49
25,49,49,31,29,21,49,49
26,49,33,25,23,29,41,49
27,39,49,29,27,21,41,49
28,39,43,23,23,25,21,45
29,39,49,21,27,21,43,47
30,23,47,41,21,23,29,41
31,35,27,39,21,23,23,49
32,49,45,31,29,21,33,49
33,49,45,21,21,23,29,37
34,29,45,27,25,21,45,43
35,43,27,41,27,21,47,45
36,43,49,37,25,33,49,31
37,25,47,23,21,21,27,47
38,49,41,21,23,23,49,45
39,31,41,23,29,21,39,31
40,49,47,31,23,25,33,47
41,45,47,39,25,23,21,47
42,47,49,25,21,21,21,49
43,45,45,29,23,21,27,47
44,47,31,31,31,23,23,37
45,43,29,21,21,21,25,49
46,47,43,21,25,23,49,27
47,31,35,23,25,41,31,39
48,37,47,23,27,21,27,49
49,43,49,45,21,21,27,49
50,39,35,35,23,21,47,43
51,49,29,31,23,21,45,49
52,49,43,39,21,21,21,47
53,45,41,27,21,21,23,49
54,49,47,23,25,25,21,27
55,23,49,39,25,21,49,25
56,45,37,23,25,21,33,49
57,49,49,27,21,23,25,39
58,49,25,29,29,25,37,35
59,45,49,31,23,21,27,41
60,31,35,47,21,21,49,39
61,35,43,21,21,21,25,43
62,33,49,27,21,21,25,41
63,39,49,21,21,23,41,49
64,49,37,21,27,21,23,47
65,49,43,29,21,21,47,33
66,49,45,23,21,23,43,27
67,47,29,33,21,21,41,33
68,43,49,21,23,21,29,47
69,49,37,27,23,21,29,49
70,33,47,25,25,33,31,45
71,49,49,45,25,21,21,37
72,41,47,31,23,27,25,49
73,33,49,29,31,21,21,47
74,47,39,25,21,23,21,37
75,49,43,21,23,21,27,49
76,39,49,25,21,21,21,47
77,45,49,31,21,23,49,47
78,31,49,21,23,23,21,43
79,45,47,21,25,23,49,39
80,47,45,33,21,21,29,49
81,49,49,21,21,25,47,49
82,43,49,33,27,21,27,49
83,49,49,23,25,21,21,49
84,45,49,33,21,21,23,45
85,37,45,25,25,25,33,29
86,47,27,31,29,21,39,33
87,45,29,23,21,21,29,35
88,47,35,21,21,21,47,25
89,37,47,29,25,27,49,49
90,49,49,27,23,23,47,39
91,47,21,25,27,21,21,35
92,37,49,31,21,27,49,49
93,25,45,29,21,27,21,47
94,49,37,47,23,21,33,31
95,37,23,35,21,25,45,49
96,49,33,33,21,21,37,33
97,47,49,35,27,21,29,33
98,47,29,41,21,25,27,25
99,49,39,27,21,23,49,47
100,49,49,27,23,23,29,41
101,43,49,23,23,21,47,47
102,35,43,31,23,21,49,43
103,47,45,25,23,25,47,49
104,45,35,25,23,21,33,49
105,49,45,21,21,21,23,41
106,37,37,25,29,23,49,47
107,49,47,37,21,21,33,31
108,47,23,25,21,23,37,47
109,49,45,25,23,23,45,33
110,49,39,23,23,21,23,49
111,39,49,47,29,23,45,49
112,41,41,21,21,23,47,21
113,35,35,25,21,27,43,39
114,43,47,25,25,23,25,35
115,39,39,21,21,21,49,25
116,45,45,21,21,21,21,43
117,49,21,33,23,27,23,45
118,47,49,33,21,21,33,31
119,41,41,37,21,21,47,31
120,31,47,27,23,25,45,47
121,41,41,33,21,29,23,49
122,31,47,21,21,21,43,47
123,35,43,35,31,21,27,29
124,49,41,29,21,23,43,47
125,45,49,25,21,29,39,43
126,29,49,21,23,21,49,49
127,47,47,21,23,27,39,47
128,37,47,27,23,21,25,49
129,41,49,37,31,21,29,33
130,49,47,25,33,23,37,39
131,39,23,25,21,21,35,49
132,49,45,49,33,21,43,47
133,33,49,41,21,21,41,49
134,37,47,21,23,21,31,29
135,37,49,27,21,29,21,43
136,49,43,21,21,21,23,41
137,39,41,25,23,21,23,21
138,39,45,31,25,21,43,49
139,43,47,29,21,23,31,45
140,45,49,43,21,21,21,37
141,49,49,41,23,25,45,47
142,49,41,33,31,21,43,37
143,27,31,25,21,21,21,41
144,43,39,27,21,25,39,45
145,49,49,21,21,23,41,25
146,21,33,21,21,21,45,39
147,47,39,35,35,21,49,39
148,49,31,21,29,21,43,47
149,29,49,31,21,23,43,27
150,43,35,29,35,25,49,49
151,49,49,29,23,21,45,49
152,47,35,27,31,23,47,49
153,25,47,23,21,23,31,43
154,45,45,37,21,21,47,45
155,41,45,33,33,23,31,41
156,43,43,27,21,21,47,49
157,21,31,35,23,21,21,45
