,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.000,-0.115,0.315,0.030,0.199,0.085,-0.028,0.150,0.128,0.098,-0.008,0.189,-0.018,-0.073,-0.081
1,-0.115,1.000,-0.098,0.105,-0.067,0.002,0.139,-0.365,0.145,0.246,0.034,-0.129,0.009,-0.056,-0.025
2,0.315,-0.098,1.000,0.106,0.211,0.008,-0.095,0.118,0.138,0.011,-0.095,0.089,-0.030,0.156,0.010
3,0.030,0.105,0.106,1.000,-0.024,0.075,0.121,0.018,0.054,0.029,0.114,0.019,0.060,0.135,0.055
4,0.199,-0.067,0.211,-0.024,1.000,-0.035,-0.136,0.209,0.014,0.121,-0.159,0.323,-0.049,-0.122,-0.069
5,0.085,0.002,0.008,0.075,-0.035,1.000,0.190,0.123,0.109,0.042,0.065,0.087,0.153,-0.037,-0.048
6,-0.028,0.139,-0.095,0.121,-0.136,0.190,1.000,0.029,0.079,0.126,0.114,-0.068,0.215,0.063,-0.004
7,0.150,-0.365,0.118,0.018,0.209,0.123,0.029,1.000,-0.104,-0.008,-0.017,0.227,0.142,0.050,0.132
8,0.128,0.145,0.138,0.054,0.014,0.109,0.079,-0.104,1.000,0.009,-0.081,0.028,0.007,0.116,-0.133
9,0.098,0.246,0.011,0.029,0.121,0.042,0.126,-0.008,0.009,1.000,-0.016,0.007,0.087,-0.113,-0.124
10,-0.008,0.034,-0.095,0.114,-0.159,0.065,0.114,-0.017,-0.081,-0.016,1.000,0.109,0.031,0.104,0.015
11,0.189,-0.129,0.089,0.019,0.323,0.087,-0.068,0.227,0.028,0.007,0.109,1.000,-0.012,-0.001,-0.153
12,-0.018,0.009,-0.030,0.060,-0.049,0.153,0.215,0.142,0.007,0.087,0.031,-0.012,1.000,0.086,0.147
13,-0.073,-0.056,0.156,0.135,-0.122,-0.037,0.063,0.050,0.116,-0.113,0.104,-0.001,0.086,1.000,0.072
14,-0.081,-0.025,0.010,0.055,-0.069,-0.048,-0.004,0.132,-0.133,-0.124,0.015,-0.153,0.147,0.072,1.000
