,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.000,-0.235,0.446,0.034,0.148,-0.050,-0.205,0.113,-0.002,0.011,-0.091,0.206,-0.150,-0.103,-0.085
1,-0.235,1.000,-0.215,0.076,-0.158,-0.036,0.178,-0.588,0.148,0.334,0.040,-0.281,-0.077,-0.062,-0.148
2,0.446,-0.215,1.000,0.008,0.249,-0.069,-0.221,0.115,0.056,-0.061,-0.199,0.025,-0.078,0.137,0.024
3,0.034,0.076,0.008,1.000,-0.107,0.037,0.093,-0.076,-0.016,0.001,0.113,-0.107,0.039,0.104,0.113
4,0.148,-0.158,0.249,-0.107,1.000,-0.194,-0.337,0.102,-0.133,-0.021,-0.266,0.302,-0.219,-0.181,-0.073
5,-0.050,-0.036,-0.069,0.037,-0.194,1.000,0.263,0.081,0.096,-0.104,0.073,0.013,0.160,-0.063,-0.030
6,-0.205,0.178,-0.221,0.093,-0.337,0.263,1.000,-0.091,0.027,0.082,0.162,-0.252,0.268,0.137,-0.029
7,0.113,-0.588,0.115,-0.076,0.102,0.081,-0.091,1.000,-0.171,-0.146,-0.010,0.252,0.135,0.045,0.188
8,-0.002,0.148,0.056,-0.016,-0.133,0.096,0.027,-0.171,1.000,-0.102,-0.196,-0.055,-0.044,0.152,-0.126
9,0.011,0.334,-0.061,0.001,-0.021,-0.104,0.082,-0.146,-0.102,1.000,0.019,-0.150,0.001,-0.178,-0.138
10,-0.091,0.040,-0.199,0.113,-0.266,0.073,0.162,-0.010,-0.196,0.019,1.000,-0.007,0.118,-0.024,0.041
11,0.206,-0.281,0.025,-0.107,0.302,0.013,-0.252,0.252,-0.055,-0.150,-0.007,1.000,-0.103,-0.196,-0.145
12,-0.150,-0.077,-0.078,0.039,-0.219,0.160,0.268,0.135,-0.044,0.001,0.118,-0.103,1.000,0.237,0.151
13,-0.103,-0.062,0.137,0.104,-0.181,-0.063,0.137,0.045,0.152,-0.178,-0.024,-0.196,0.237,1.000,0.110
14,-0.085,-0.148,0.024,0.113,-0.073,-0.030,-0.029,0.188,-0.126,-0.138,0.041,-0.145,0.151,0.110,1.000
