,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.030,0.020,0.003,0.002,0.002,0.004,0.005,0.003,0.005,0.004,0.005,0.008
DCC_bivariate_loop,0.033,0.021,0.028,0.026,0.042,0.018,0.030,0.022,0.037,0.009,0.021,0.026
SW_cross_validated,0.030,0.013,0.022,0.010,0.009,0.008,0.005,0.006,0.021,0.013,0.021,0.014
SW_15,0.032,0.032,0.034,0.032,0.037,0.020,0.042,0.031,0.019,0.025,0.028,0.030
SW_30,0.028,0.031,0.042,0.036,0.038,0.020,0.040,0.028,0.027,0.025,0.024,0.031
SW_60,0.027,0.036,0.050,0.032,0.029,0.017,0.019,0.020,0.025,0.026,0.026,0.028
SW_120,0.031,0.015,0.035,0.021,0.020,0.010,0.010,0.009,0.020,0.030,0.039,0.022
sFC,0.031,0.010,0.007,0.002,0.003,0.004,0.006,0.002,0.007,0.004,0.002,0.007
