,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.030,0.009,0.005,0.002,0.002,0.004,0.005,0.002,0.006,0.005,0.002,0.007
DCC_bivariate_loop,0.033,0.011,0.027,0.026,0.042,0.018,0.030,0.021,0.039,0.010,0.017,0.025
SW_cross_validated,0.032,0.009,0.015,0.010,0.010,0.009,0.006,0.004,0.016,0.005,0.015,0.012
SW_15,0.028,0.027,0.024,0.023,0.028,0.014,0.026,0.030,0.027,0.018,0.019,0.024
SW_30,0.029,0.016,0.026,0.017,0.028,0.020,0.025,0.022,0.021,0.015,0.020,0.022
SW_60,0.027,0.014,0.029,0.022,0.027,0.016,0.019,0.014,0.014,0.014,0.021,0.020
SW_120,0.030,0.010,0.021,0.023,0.020,0.012,0.007,0.009,0.014,0.019,0.025,0.017
sFC,0.031,0.009,0.007,0.002,0.002,0.004,0.006,0.002,0.007,0.004,0.003,0.007
