,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.038,0.029,0.709,0.709,0.709,0.711,0.711,0.387,0.817,0.199,0.302,0.484
DCC_bivariate_loop,0.042,0.033,0.195,0.223,0.275,0.285,0.325,0.256,0.234,0.185,0.167,0.202
SW_cross_validated,0.068,0.155,0.229,0.582,0.806,0.771,0.661,0.418,0.352,0.223,0.173,0.403
SW_15,0.244,0.323,0.310,0.298,0.318,0.296,0.329,0.270,0.335,0.289,0.299,0.301
SW_30,0.183,0.223,0.233,0.203,0.243,0.246,0.282,0.218,0.267,0.228,0.221,0.232
SW_60,0.135,0.163,0.165,0.183,0.268,0.392,0.508,0.232,0.249,0.231,0.175,0.245
SW_120,0.098,0.136,0.162,0.349,0.611,0.785,0.844,0.371,0.278,0.256,0.168,0.369
sFC,0.040,0.013,0.711,0.709,0.709,0.711,0.712,0.387,0.820,0.199,0.303,0.483
