,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.038,0.012,0.710,0.709,0.709,0.712,0.711,0.387,0.818,0.198,0.303,0.482
DCC_bivariate_loop,0.042,0.016,0.189,0.223,0.274,0.284,0.325,0.256,0.234,0.185,0.165,0.199
SW_cross_validated,0.078,0.027,0.263,0.571,0.804,0.772,0.655,0.436,0.276,0.201,0.133,0.383
SW_15,0.271,0.120,0.183,0.171,0.197,0.176,0.205,0.231,0.183,0.245,0.227,0.201
SW_30,0.191,0.073,0.136,0.129,0.174,0.188,0.231,0.193,0.162,0.186,0.160,0.166
SW_60,0.139,0.053,0.110,0.169,0.259,0.388,0.501,0.223,0.174,0.200,0.129,0.213
SW_120,0.102,0.042,0.172,0.361,0.606,0.782,0.840,0.381,0.230,0.225,0.130,0.352
sFC,0.040,0.012,0.711,0.709,0.709,0.711,0.712,0.387,0.820,0.199,0.303,0.483
