,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.050,0.050,0.053,0.053,0.053,0.054,0.054,0.051,0.055,0.050,0.051,0.052
DCC_bivariate_loop,0.061,0.061,0.061,0.061,0.062,0.063,0.062,0.062,0.061,0.062,0.062,0.062
SW_cross_validated,0.076,0.076,0.076,0.078,0.079,0.079,0.078,0.077,0.076,0.076,0.076,0.077
SW_15,0.253,0.253,0.253,0.253,0.253,0.253,0.253,0.252,0.253,0.253,0.253,0.253
SW_30,0.183,0.183,0.183,0.183,0.183,0.184,0.183,0.183,0.183,0.183,0.184,0.183
SW_60,0.133,0.132,0.133,0.133,0.132,0.134,0.134,0.133,0.133,0.133,0.133,0.133
SW_120,0.107,0.107,0.107,0.107,0.109,0.112,0.113,0.108,0.108,0.110,0.110,0.109
sFC,0.050,0.050,0.053,0.053,0.054,0.054,0.054,0.051,0.055,0.050,0.051,0.052
