,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.468,0.464,0.947,0.150,0.637,1.104,0.175,0.197,0.923,1.214,0.561
1,0.686,0.593,0.374,0.446,0.048,0.182,1.171,0.743,0.730,0.608,0.690
2,0.657,1.241,0.340,0.172,0.237,0.187,0.554,0.117,0.312,1.611,0.306
3,0.152,1.445,0.866,0.316,0.545,0.252,1.231,0.535,0.404,0.413,0.254
4,1.368,0.466,0.340,0.126,0.119,0.145,0.485,0.264,0.353,1.919,0.648
5,0.734,0.209,0.145,0.161,0.184,0.583,1.065,1.133,0.281,1.237,1.361
6,0.494,0.405,0.408,0.313,0.161,0.224,0.706,1.385,0.423,1.093,0.708
7,0.625,0.242,0.250,0.552,0.155,0.911,1.162,0.278,0.074,0.228,0.454
8,0.590,0.759,0.341,0.397,0.258,0.234,1.146,1.109,0.312,0.851,1.543
9,0.464,1.221,0.356,0.259,0.188,0.310,0.140,1.316,0.075,0.931,0.793
