,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.871,1.059,0.952,0.824,0.851,0.900,0.744,0.776,0.894,0.919,0.806
1,0.883,1.024,0.789,0.885,0.821,0.907,0.926,0.940,0.910,0.899,0.919
2,0.886,0.920,0.944,0.772,0.812,0.941,0.841,0.816,0.942,0.888,1.125
3,0.676,0.865,0.923,0.985,0.913,1.111,0.905,0.820,1.073,0.952,0.864
4,0.855,0.903,0.770,0.818,0.808,0.853,0.899,1.108,0.930,0.859,0.887
5,0.959,0.859,0.954,0.890,0.868,0.966,0.838,0.880,0.944,0.840,0.904
6,0.838,0.986,0.960,0.922,0.823,0.836,0.966,0.849,0.879,0.966,0.872
7,0.836,1.009,0.841,0.718,0.949,0.855,0.848,0.975,0.740,0.760,0.956
8,0.929,0.784,0.832,1.042,1.233,0.793,0.853,0.866,0.842,0.952,0.888
9,0.922,0.823,0.888,0.921,0.811,0.896,1.022,0.842,0.833,0.934,0.986
