,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,1.540,0.473,1.111,0.359,0.244,1.175,0.393,0.104,1.009,1.131,0.177
1,0.665,0.607,0.356,0.353,0.082,0.143,1.238,0.825,0.432,0.649,0.662
2,0.733,1.270,0.364,0.196,0.256,0.389,1.080,0.193,0.380,1.251,0.437
3,1.007,1.346,0.947,0.351,0.454,0.285,1.210,0.871,0.207,0.382,0.201
4,1.278,0.671,0.299,0.241,0.148,0.294,0.615,0.107,0.425,1.618,0.902
5,0.769,0.232,0.107,0.181,0.131,0.237,0.990,1.318,0.289,1.668,1.296
6,0.914,0.503,0.400,0.371,0.183,0.089,0.429,0.140,0.213,1.108,0.701
7,0.896,0.282,0.384,0.415,0.135,0.143,1.344,0.285,0.891,0.474,0.452
8,0.637,0.353,0.316,0.430,0.172,0.398,1.161,1.163,0.323,0.914,1.651
9,0.600,1.120,0.588,0.254,0.595,0.485,0.133,1.719,0.372,0.951,0.386
