,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.0000,0.9565,0.0000,0.7183,0.3238,0.9522,0.0000,0.0000
DCC_joint,,0.0000,,0.0000,0.4979,0.0000,0.0000,0.0000,0.0000,0.5649
DCC_bivariate_loop,,0.9565,0.0000,,0.0000,0.2355,0.0218,0.9888,0.0000,0.0000
SW_cross_validated,,0.0000,0.4979,0.0000,,0.0000,0.0000,0.0000,0.0017,0.5491
SW_15,,0.7183,0.0000,0.2355,0.0000,,0.0006,0.2463,0.0000,0.0000
SW_30,,0.3238,0.0000,0.0218,0.0000,0.0006,,0.0261,0.0000,0.0000
SW_60,,0.9522,0.0000,0.9888,0.0000,0.2463,0.0261,,0.0000,0.0000
SW_120,,0.0000,0.0000,0.0000,0.0017,0.0000,0.0000,0.0000,,0.0000
sFC,,0.0000,0.5649,0.0000,0.5491,0.0000,0.0000,0.0000,0.0000,
