,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,31.86,4.11,4.56,9.36,4.21,0.67,0.98,34.97
DCC_joint,,31.86,,-44.57,-40.08,-31.18,-43.87,-54.47,-49.12,3.88
DCC_bivariate_loop,,4.11,-44.57,,0.80,7.58,0.17,-5.31,-4.51,54.58
SW_cross_validated,,4.56,-40.08,0.80,,6.46,-0.63,-5.81,-5.05,47.80
SW_15,,9.36,-31.18,7.58,6.46,,-7.38,-12.79,-11.69,37.36
SW_30,,4.21,-43.87,0.17,-0.63,-7.38,,-5.43,-4.64,53.52
SW_60,,0.67,-54.47,-5.31,-5.81,-12.79,-5.43,,0.49,68.37
SW_120,,0.98,-49.12,-4.51,-5.05,-11.69,-4.64,0.49,,59.46
sFC,,34.97,3.88,54.58,47.80,37.36,53.52,68.37,59.46,
