,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.941,0.877,0.860,0.825,0.817,0.733,0.954,-0.016,0.856,0.761
DCC_bivariate_loop,,,0.970,0.946,0.922,0.903,0.896,0.766,0.955,0.372,0.880,0.846
SW_cross_validated,,,0.990,0.968,0.955,0.939,0.790,0.683,0.956,-0.029,0.841,0.788
SW_15,,,0.925,0.894,0.901,0.917,0.896,0.780,0.919,0.495,0.678,0.823
SW_30,,,0.968,0.946,0.949,0.949,0.925,0.835,0.951,0.492,0.797,0.868
SW_60,,,0.988,0.967,0.957,0.931,0.810,0.802,0.958,0.292,0.868,0.841
SW_120,,,0.990,0.941,0.647,-0.478,-0.690,0.258,0.947,-0.050,0.866,0.381
sFC,,,,,,,,,,0.000,,0.000
