,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.006,0.008,0.008,0.009,0.009,0.033,0.002,0.005,0.144,0.007,0.005,0.022
DCC_joint,0.005,0.006,0.008,0.010,0.004,0.002,0.004,0.005,0.008,0.007,0.005,0.006
DCC_bivariate_loop,0.007,0.007,0.008,0.015,0.007,0.006,0.006,0.009,0.008,0.010,0.007,0.008
SW_cross_validated,0.007,0.007,0.006,0.011,0.007,0.008,0.008,0.004,0.018,0.005,0.004,0.008
SW_15,0.007,0.008,0.007,0.005,0.007,0.008,0.008,0.004,0.010,0.007,0.005,0.007
SW_30,0.006,0.006,0.008,0.007,0.007,0.009,0.009,0.003,0.008,0.008,0.005,0.007
SW_60,0.006,0.006,0.008,0.006,0.007,0.008,0.006,0.005,0.010,0.008,0.004,0.007
SW_120,0.008,0.011,0.015,0.007,0.006,0.006,0.005,0.014,0.018,0.016,0.011,0.011
sFC,0.006,0.007,0.003,0.002,0.002,0.002,0.002,0.005,0.002,0.005,0.005,0.004
