,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.006,0.010,0.015,0.015,0.007,0.020,0.003,0.021,0.015,0.012
DCC_bivariate_loop,,,0.002,0.003,0.007,0.008,0.005,0.017,0.003,0.061,0.013,0.013
SW_cross_validated,,,0.001,0.004,0.007,0.009,0.056,0.077,0.002,0.032,0.015,0.022
SW_15,,,0.005,0.009,0.004,0.004,0.005,0.017,0.006,0.044,0.015,0.012
SW_30,,,0.002,0.006,0.004,0.005,0.007,0.014,0.002,0.052,0.017,0.012
SW_60,,,0.001,0.004,0.006,0.008,0.022,0.016,0.002,0.051,0.016,0.014
SW_120,,,0.003,0.006,0.017,0.042,0.040,0.034,0.002,0.025,0.019,0.021
sFC,,,,,,,,,,0.000,,0.000
