,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.038,0.042,0.061,0.086,0.091,0.116,0.171,0.097,0.131,0.064,0.063,0.087
DCC_joint,0.046,0.050,0.133,0.144,0.150,0.155,0.159,0.099,0.185,0.067,0.082,0.116
DCC_bivariate_loop,0.056,0.059,0.072,0.078,0.087,0.093,0.096,0.080,0.082,0.069,0.067,0.076
SW_cross_validated,0.108,0.114,0.134,0.150,0.159,0.169,0.184,0.139,0.161,0.117,0.115,0.141
SW_15,0.271,0.279,0.272,0.279,0.278,0.271,0.279,0.270,0.277,0.273,0.275,0.275
SW_30,0.196,0.202,0.194,0.204,0.200,0.201,0.205,0.196,0.204,0.201,0.200,0.200
SW_60,0.143,0.147,0.142,0.151,0.153,0.167,0.186,0.149,0.153,0.152,0.146,0.154
SW_120,0.115,0.125,0.123,0.143,0.182,0.219,0.230,0.148,0.137,0.142,0.127,0.154
sFC,0.045,0.047,0.174,0.172,0.173,0.174,0.174,0.101,0.197,0.063,0.084,0.128
