,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.025,0.030,0.031,0.039,0.043,0.085,0.168,0.088,0.058,0.054,0.045,0.061
DCC_joint,0.044,0.047,0.132,0.141,0.149,0.155,0.159,0.098,0.185,0.063,0.079,0.114
DCC_bivariate_loop,0.055,0.056,0.070,0.073,0.086,0.092,0.095,0.079,0.081,0.066,0.064,0.074
SW_cross_validated,0.078,0.076,0.112,0.127,0.137,0.148,0.165,0.121,0.137,0.084,0.083,0.115
SW_15,0.253,0.247,0.249,0.248,0.251,0.246,0.253,0.252,0.251,0.248,0.247,0.250
SW_30,0.177,0.174,0.172,0.175,0.175,0.175,0.181,0.177,0.180,0.174,0.172,0.176
SW_60,0.127,0.125,0.122,0.129,0.137,0.150,0.172,0.134,0.134,0.128,0.124,0.135
SW_120,0.098,0.102,0.104,0.127,0.172,0.208,0.220,0.136,0.116,0.113,0.104,0.136
sFC,0.044,0.047,0.174,0.172,0.173,0.174,0.174,0.101,0.197,0.063,0.084,0.128
