,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.010,0.008,0.011,0.009,0.073,0.003,0.018,0.007,0.001,0.005,0.014
DCC_joint,0.008,0.006,0.011,0.012,0.009,0.009,0.006,0.004,0.007,0.001,0.006,0.007
DCC_bivariate_loop,0.009,0.006,0.007,0.007,0.011,0.013,0.007,0.007,0.009,0.004,0.007,0.008
SW_cross_validated,0.009,0.008,0.006,0.014,0.015,0.024,0.046,0.017,0.005,0.003,0.007,0.014
SW_15,0.010,0.012,0.011,0.014,0.010,0.009,0.007,0.008,0.011,0.010,0.010,0.010
SW_30,0.010,0.009,0.007,0.013,0.012,0.011,0.010,0.007,0.007,0.012,0.009,0.010
SW_60,0.011,0.008,0.007,0.013,0.011,0.006,0.006,0.007,0.006,0.009,0.008,0.008
SW_120,0.011,0.010,0.016,0.009,0.005,0.003,0.003,0.004,0.003,0.005,0.009,0.007
sFC,0.008,0.005,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.002
