,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.017,0.055,0.101,0.161,0.190,0.314,0.703,0.353,0.223,0.203,0.154,0.225
DCC_joint,0.036,0.031,0.251,0.404,0.468,0.533,0.563,0.357,0.251,0.201,0.221,0.301
DCC_bivariate_loop,0.043,0.033,0.178,0.233,0.276,0.303,0.320,0.250,0.247,0.184,0.148,0.201
SW_cross_validated,0.065,0.172,0.121,0.200,0.239,0.317,0.460,0.277,0.248,0.226,0.172,0.227
SW_15,0.241,0.329,0.281,0.328,0.327,0.292,0.326,0.264,0.329,0.293,0.295,0.300
SW_30,0.172,0.232,0.190,0.236,0.236,0.238,0.289,0.217,0.259,0.231,0.214,0.229
SW_60,0.118,0.172,0.129,0.202,0.262,0.380,0.515,0.237,0.241,0.220,0.159,0.240
SW_120,0.089,0.146,0.145,0.363,0.609,0.782,0.836,0.377,0.277,0.239,0.161,0.366
sFC,0.036,0.016,0.710,0.709,0.711,0.710,0.711,0.386,0.817,0.199,0.302,0.483
