,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.017,0.025,0.062,0.082,0.124,0.312,0.702,0.347,0.200,0.200,0.144,0.201
DCC_joint,0.036,0.018,0.246,0.403,0.465,0.530,0.561,0.357,0.250,0.198,0.219,0.299
DCC_bivariate_loop,0.043,0.023,0.176,0.231,0.276,0.304,0.320,0.249,0.248,0.182,0.147,0.200
SW_cross_validated,0.076,0.030,0.102,0.177,0.222,0.313,0.452,0.277,0.182,0.203,0.124,0.196
SW_15,0.274,0.122,0.165,0.182,0.202,0.188,0.212,0.232,0.194,0.237,0.203,0.201
SW_30,0.183,0.077,0.113,0.136,0.165,0.183,0.241,0.201,0.167,0.191,0.139,0.163
SW_60,0.128,0.055,0.091,0.171,0.255,0.375,0.512,0.231,0.186,0.194,0.120,0.211
SW_120,0.099,0.039,0.162,0.372,0.606,0.779,0.835,0.385,0.236,0.213,0.124,0.350
sFC,0.036,0.016,0.710,0.709,0.711,0.710,0.711,0.386,0.817,0.199,0.302,0.482
