,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.030,0.032,0.026,0.033,0.029,0.232,0.008,0.057,0.021,0.004,0.016,0.044
DCC_joint,0.025,0.018,0.035,0.037,0.029,0.029,0.019,0.012,0.021,0.004,0.018,0.022
DCC_bivariate_loop,0.030,0.021,0.022,0.023,0.035,0.041,0.023,0.023,0.027,0.011,0.021,0.025
SW_cross_validated,0.027,0.024,0.019,0.043,0.049,0.077,0.144,0.053,0.017,0.011,0.023,0.044
SW_15,0.032,0.036,0.036,0.043,0.033,0.028,0.021,0.026,0.035,0.031,0.031,0.032
SW_30,0.032,0.028,0.021,0.041,0.036,0.035,0.032,0.022,0.022,0.038,0.028,0.030
SW_60,0.035,0.025,0.021,0.042,0.033,0.020,0.018,0.024,0.018,0.028,0.024,0.026
SW_120,0.036,0.031,0.052,0.028,0.016,0.009,0.010,0.014,0.011,0.015,0.027,0.023
sFC,0.024,0.014,0.003,0.003,0.006,0.003,0.005,0.003,0.003,0.002,0.003,0.006
