,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.018,0.032,0.049,0.049,0.024,0.063,0.008,0.065,0.047,0.039
DCC_bivariate_loop,,,0.007,0.010,0.021,0.026,0.015,0.053,0.010,0.193,0.041,0.042
SW_cross_validated,,,0.002,0.012,0.021,0.029,0.176,0.244,0.005,0.101,0.048,0.071
SW_15,,,0.017,0.028,0.014,0.014,0.015,0.054,0.019,0.140,0.049,0.039
SW_30,,,0.006,0.017,0.014,0.017,0.021,0.044,0.008,0.164,0.052,0.038
SW_60,,,0.003,0.014,0.018,0.024,0.068,0.051,0.005,0.163,0.051,0.044
SW_120,,,0.010,0.018,0.053,0.133,0.125,0.108,0.006,0.080,0.062,0.066
sFC,,,,,,,,,,0.000,,0.000
