,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,0.7739,0.0479,0.0002,0.0000,0.0000,0.0002,0.0004,0.0018
SVWP,0.7739,,0.0654,0.0000,0.0000,0.0000,0.0000,0.0001,0.0017
DCC_joint,0.0479,0.0654,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122
SW_cross_validated,0.0002,0.0000,0.0000,,0.0000,0.0080,0.3736,0.5387,0.0000
SW_15,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,0.0000
SW_30,0.0000,0.0000,0.0000,0.0080,0.0000,,0.0000,0.0008,0.0000
SW_60,0.0002,0.0000,0.0000,0.3736,0.0000,0.0000,,0.8446,0.0000
SW_120,0.0004,0.0001,0.0000,0.5387,0.0000,0.0008,0.8446,,0.0000
sFC,0.0018,0.0017,0.0122,0.0000,0.0000,0.0000,0.0000,0.0000,
