,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.425,0.743,0.101
DCC_joint,0.425,,0.308,0.345
SW_cross_validated,0.743,0.308,,0.672
sFC,0.101,0.345,0.672,
