,SVWP,DCC_joint,SW_cross_validated,sFC
SVWP,,0.775,0.000,0.262
DCC_joint,0.775,,0.000,0.425
SW_cross_validated,0.000,0.000,,0.000
sFC,0.262,0.425,0.000,
